Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
253.0000000000,-0.0011159672,0.0000000000,0.0500000007,0.7842106223
254.0000000000,-0.0011114399,0.0000000000,0.0500000007,0.7862300873
255.0000000000,-0.0011069126,0.0000000000,0.0500000007,0.7882496119
256.0000000000,-0.0011023853,0.0000000000,0.0500000007,0.7902691364
257.0000000000,-0.0010978581,0.0000000000,0.0500000007,0.7922886610
258.0000000000,-0.0010933308,0.0000000000,0.0500000007,0.7943081260
259.0000000000,-0.0010888035,0.0000000000,0.0500000007,0.7963277102
260.0000000000,-0.0010842762,0.0000000000,0.0500000007,0.7983471751
261.0000000000,-0.0010797490,0.0000000000,0.0500000007,0.8003666997
262.0000000000,-0.0010752217,0.0000000000,0.0500000007,0.8023862243
263.0000000000,-0.0010706944,0.0000000000,0.0500000007,0.8044056892
264.0000000000,-0.0010661671,0.0000000000,0.0500000007,0.8064252734
265.0000000000,-0.0010616399,0.0000000000,0.0500000007,0.8084447384
266.0000000000,-0.0010571126,0.0000000000,0.0500000007,0.8104642630
267.0000000000,-0.0010525853,0.0000000000,0.0500000007,0.8124837875
268.0000000000,-0.0010480580,0.0000000000,0.0500000007,0.8145033121
269.0000000000,-0.0010435308,0.0000000000,0.0500000007,0.8165227771
270.0000000000,-0.0010390035,0.0000000000,0.0500000007,0.8185423613
271.0000000000,-0.0010344762,0.0000000000,0.0500000007,0.8205618262
272.0000000000,-0.0010299489,0.0000000000,0.0500000007,0.8225813508
273.0000000000,-0.0010254217,0.0000000000,0.0500000007,0.8245306015
274.0000000000,-0.0010208944,0.0000000000,0.0500000007,0.8260655999
275.0000000000,-0.0010163671,0.0000000000,0.0500000007,0.8276005983
276.0000000000,-0.0010118398,0.0000000000,0.0500000007,0.8291357756
277.0000000000,-0.0010073126,0.0000000000,0.0500000007,0.8306706548
278.0000000000,-0.0010027853,0.0000000000,0.0500000007,0.8322057724
279.0000000000,-0.0009982580,0.0000000000,0.0500000007,0.8337407708
280.0000000000,-0.0009937307,0.0000000000,0.0500000007,0.8352758288
281.0000000000,-0.0009892035,0.0000000000,0.0500000007,0.8368107677
282.0000000000,-0.0009846762,0.0000000000,0.0500000007,0.8383458853
