"p","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011658,-5.022e-17,1.6135e-09,1.0241,-1.6289e-16,1.6135e-09,1.0241,1.9198e-13,-8.4036e-13,-2.6364e-10,1.9198e-13,-8.4036e-13,-2.6364e-10,1,0.0018659,0,-0.00040406,0.199
0.011658,-5.1071e-17,1.601e-09,1.025,-1.6459e-16,1.601e-09,1.025,1.9746e-13,-8.0126e-13,-2.6397e-10,1.9746e-13,-8.0126e-13,-2.6397e-10,1,0.0018705,0,-0.00039952,0.199
0.011658,-5.1922e-17,1.5886e-09,1.0259,-1.6629e-16,1.5886e-09,1.0259,2.0293e-13,-7.6217e-13,-2.643e-10,2.0293e-13,-7.6217e-13,-2.643e-10,1,0.001875,0,-0.00039498,0.199
0.011658,-5.2772e-17,1.5761e-09,1.0268,-1.6799e-16,1.5761e-09,1.0268,2.0841e-13,-7.2307e-13,-2.6463e-10,2.0841e-13,-7.2307e-13,-2.6463e-10,1,0.0018796,0,-0.00039044,0.199
0.011658,-5.3623e-17,1.5636e-09,1.0277,-1.697e-16,1.5636e-09,1.0277,2.1388e-13,-6.8397e-13,-2.6496e-10,2.1388e-13,-6.8397e-13,-2.6496e-10,1,0.0018841,0,-0.0003859,0.199
0.011658,-5.4474e-17,1.5512e-09,1.0286,-1.714e-16,1.5512e-09,1.0286,2.1936e-13,-6.4488e-13,-2.6529e-10,2.1936e-13,-6.4488e-13,-2.6529e-10,1,0.0018886,0,-0.00038136,0.199
0.011658,-5.5325e-17,1.5387e-09,1.0295,-1.731e-16,1.5387e-09,1.0295,2.2484e-13,-6.0578e-13,-2.6562e-10,2.2484e-13,-6.0578e-13,-2.6562e-10,1,0.0018932,0,-0.00037682,0.199
0.011658,-5.6176e-17,1.5262e-09,1.0304,-1.748e-16,1.5262e-09,1.0304,2.3031e-13,-5.6669e-13,-2.6595e-10,2.3031e-13,-5.6669e-13,-2.6595e-10,1,0.0018977,0,-0.00037228,0.199
0.011658,-5.7027e-17,1.5138e-09,1.0313,-1.765e-16,1.5138e-09,1.0313,2.3579e-13,-5.2759e-13,-2.6628e-10,2.3579e-13,-5.2759e-13,-2.6628e-10,1,0.0019023,0,-0.00036774,0.199
0.011658,-5.7878e-17,1.5013e-09,1.0322,-1.7821e-16,1.5013e-09,1.0322,2.4126e-13,-4.885e-13,-2.6661e-10,2.4126e-13,-4.885e-13,-2.6661e-10,1,0.0019068,0,-0.0003632,0.199
